nohup: ignoring input
Lambdifying EOM
Setting up symbolic variables
Lambdifying accelerations
Simulation saved to MPC_CAEDM8.dill
Solving IVP
t: 0.0, cost: 2.186228853303932, nfev: 140, v_opt: [-18.75  81.25  56.25]
t: 0.00519535266059357, cost: 2.182339979021892, nfev: 140, v_opt: [-17.85136756  81.35347202  56.26250958]
t: 0.013504837554417547, cost: 2.176031666674296, nfev: 140, v_opt: [-16.16643177  81.45729282  56.27211461]
t: 0.02407371306157904, cost: 2.1672540347385496, nfev: 172, v_opt: [-13.97572594  81.58736812  56.28384104]
t: 0.01873778685136128, cost: 2.1710889620509652, nfev: 165, v_opt: [-14.89920339  81.5331631   56.27898249]
t: 0.03373409958902885, cost: 2.160330261200376, nfev: 176, v_opt: [-12.38522187  81.67841458  56.29192773]
t: 0.038991744982465874, cost: 2.164037153635796, nfev: 142, v_opt: [ -6.33182665  12.92767333 -87.45759734]
t: 0.04904156319201909, cost: 2.1620953668440968, nfev: 169, v_opt: [-14.10795504  81.57179552  56.28171159]
t: 0.05577834757985046, cost: 2.1230248501984774, nfev: 148, v_opt: [ 13.62286023 -93.31177969  81.28992439]
t: 0.06209346463387724, cost: 2.1502983838653087, nfev: 120, v_opt: [ -5.1720853   12.97933025 -87.45405407]
t: 0.07551472300523071, cost: 2.142674474775679, nfev: 160, v_opt: [-12.00319633  81.6756863   56.28997558]
t: 0.09580887246626257, cost: 2.1139742366693453, nfev: 140, v_opt: [  4.19834609 -93.87989066  81.23561962]
t: 0.10335403391290812, cost: 2.0954632640957573, nfev: 117, v_opt: [ -5.25250692  12.90964068 -87.46387601]
t: 0.06775403367240908, cost: 2.1435025184120615, nfev: 145, v_opt: [ -3.94384071  13.04317789 -87.44854721]
t: 0.08222213597037452, cost: 2.1299982398707598, nfev: 140, v_opt: [ -1.64625548  13.15818151 -87.43827122]
t: 0.08737907158989186, cost: 2.149365553756944, nfev: 140, v_opt: [-16.40727303  81.41601024  56.26577586]
t: 0.12161687017864775, cost: 2.0939384278758526, nfev: 92, v_opt: [  5.40230546 -93.8358284   81.23816871]
t: 0.12733125362056058, cost: 2.0750975977089725, nfev: 140, v_opt: [  0.83354147 -94.1087602   81.21212038]
t: 0.10904280975846062, cost: 2.1079997280651552, nfev: 140, v_opt: [  3.65704508 -93.91862909  81.23157531]
t: 0.1332118875059858, cost: 2.1097531242898158, nfev: 148, v_opt: [ 14.72567475 -93.29516195  81.29257795]
t: 0.14042028832914613, cost: 2.092541047808621, nfev: 113, v_opt: [  8.56442647 -93.66626569  81.2546119 ]
t: 0.11421487214458215, cost: 2.103005521146406, nfev: 92, v_opt: [  6.25 -93.75  81.25]
t: 0.15046213753775955, cost: 2.075036206320301, nfev: 144, v_opt: [  3.56922695 -93.96303     81.22531151]
t: 0.1620112107070276, cost: 2.0700960559867396, nfev: 144, v_opt: [  3.92453645 -93.95112011  81.22635516]
t: 0.1563809757100576, cost: 2.071621519830306, nfev: 144, v_opt: [  3.30481464 -93.9827136   81.22328386]
t: 0.17058947712289937, cost: 2.0698693361832663, nfev: 140, v_opt: [  5.02063478 -93.89041395  81.23273588]
t: 0.17831256254996034, cost: 1.8761737255532642, nfev: 112, v_opt: [100.          19.14011953  93.77355577]
t: 0.18903716988406397, cost: 1.6071493130769379, nfev: 116, v_opt: [100.          19.13885063  93.77485864]
t: 0.18379503067150585, cost: 1.910721824291017, nfev: 168, v_opt: [100.         -34.2333689  -90.61933442]
t: 0.194623384442448, cost: 1.837753900811671, nfev: 144, v_opt: [100.         -34.2396256  -90.61968869]
t: 0.20458252765671822, cost: 1.726655496901164, nfev: 180, v_opt: [100.         -34.36245561 -90.63211211]
t: 0.20960111461392258, cost: 1.7104754550370702, nfev: 167, v_opt: [ 96.87501919 -34.3750004  -90.62500009]
t: 0.21718751807483308, cost: 1.713630945579795, nfev: 72, v_opt: [ 87.5 -87.5  12.5]
t: 0.22308374151527854, cost: 1.7180405487534551, nfev: 131, v_opt: [ 75.00430286 -56.9783988  -81.35449569]
t: 0.22885437375929096, cost: 1.753367890127354, nfev: 194, v_opt: [ 75.55913733 -57.51730151 -81.41699411]
t: 0.23445526288751123, cost: 1.6584211218932599, nfev: 230, v_opt: [ 49.08603875 -98.21695453 -28.27432169]
t: 0.24076510676631938, cost: 1.4891971328373967, nfev: 167, v_opt: [-95.01976498 -47.29417539  21.82804083]
t: 0.24632561913360956, cost: 1.2460446741197917, nfev: 182, v_opt: [ -9.9846522  -81.71491389  -6.30792974]
t: 0.2521860934956093, cost: 1.9706381436096259, nfev: 170, v_opt: [-48.55225251 -90.94012433  40.5865886 ]
t: 0.25815532158985555, cost: 1.3431039024655567, nfev: 72, v_opt: [-100. -100. -100.]
t: 0.2635242103441835, cost: 2.216880034603453, nfev: 168, v_opt: [-19.5016813   81.22776422  56.25095335]
t: 0.2694863063830398, cost: 1.3342247359273804, nfev: 156, v_opt: [-67.68281056 -69.07017657   6.21248098]
t: 0.2755080941763793, cost: 2.0851001253370707, nfev: 146, v_opt: [-15.625 -71.875 -53.125]
t: 0.28073440410846706, cost: 1.3810776300745715, nfev: 104, v_opt: [-80.54731906  90.47666154  37.87884769]
t: 0.28613969366347125, cost: 1.5237849688955785, nfev: 145, v_opt: [-100.           59.22116034   90.61202967]
t: 0.2916943654697881, cost: 1.5346711440587364, nfev: 218, v_opt: [-74.12999687  25.05615118  75.00586475]
t: 0.29702972734798955, cost: 1.5162886403494484, nfev: 224, v_opt: [-60.14929281  68.53164759 -56.27001212]
